iso3c,region_name,goal,dimension,score
SOM,Somalia,AO,score,97.01
ERI,Eritrea,AO,score,60.3
DJI,Djibouti,AO,score,73.02
YEM,Yemen,AO,score,94.6
SDN,Sudan,AO,score,62.3
SAU,Saudi Arabia,AO,score,93.96
ISR,Israel,AO,score,81.09
EGY,Egypt,AO,score,67.58
JOR,Jordan,AO,score,84.62
SOM,Somalia,BD,score,76.85
ERI,Eritrea,BD,score,82.65
DJI,Djibouti,BD,score,90.96
YEM,Yemen,BD,score,84.47
SDN,Sudan,BD,score,83.66
SAU,Saudi Arabia,BD,score,73.2
ISR,Israel,BD,score,66.87
EGY,Egypt,BD,score,74.76
JOR,Jordan,BD,score,88.75
SOM,Somalia,CP,score,55.78
ERI,Eritrea,CP,score,98.01
DJI,Djibouti,CP,score,99.18
YEM,Yemen,CP,score,70.81
SDN,Sudan,CP,score,77.67
SAU,Saudi Arabia,CP,score,71.28
ISR,Israel,CP,score,75.17
EGY,Egypt,CP,score,89.74
JOR,Jordan,CP,score,87.43
SOM,Somalia,CS,score,84.53
ERI,Eritrea,CS,score,69.17
DJI,Djibouti,CS,score,98.36
YEM,Yemen,CS,score,67.95
SDN,Sudan,CS,score,70.87
SAU,Saudi Arabia,CS,score,70.31
ISR,Israel,CS,score,73.34
EGY,Egypt,CS,score,71.96
JOR,Jordan,CS,score,75.47
SOM,Somalia,CW,score,58.31
ERI,Eritrea,CW,score,46.55
DJI,Djibouti,CW,score,53.41
YEM,Yemen,CW,score,51.47
SDN,Sudan,CW,score,44.75
SAU,Saudi Arabia,CW,score,63.96
ISR,Israel,CW,score,48.64
EGY,Egypt,CW,score,52.12
JOR,Jordan,CW,score,80.07
SOM,Somalia,ECO,score,97.02
ERI,Eritrea,ECO,score,6.68
DJI,Djibouti,ECO,score,99.95
YEM,Yemen,ECO,score,95.16
SDN,Sudan,ECO,score,98.3
SAU,Saudi Arabia,ECO,score,100
ISR,Israel,ECO,score,100
EGY,Egypt,ECO,score,100
JOR,Jordan,ECO,score,100
SOM,Somalia,FIS,score,40.84
ERI,Eritrea,FIS,score,24.39
DJI,Djibouti,FIS,score,63.97
YEM,Yemen,FIS,score,54.95
SDN,Sudan,FIS,score,28.24
SAU,Saudi Arabia,FIS,score,50.42
ISR,Israel,FIS,score,42.03
EGY,Egypt,FIS,score,30.27
JOR,Jordan,FIS,score,44.9
SOM,Somalia,FP,score,40.84
ERI,Eritrea,FP,score,24.37
DJI,Djibouti,FP,score,63.97
YEM,Yemen,FP,score,54.95
SDN,Sudan,FP,score,28.24
SAU,Saudi Arabia,FP,score,27.65
ISR,Israel,FP,score,33.94
EGY,Egypt,FP,score,17.18
JOR,Jordan,FP,score,44.9
SOM,Somalia,HAB,score,74.3
ERI,Eritrea,HAB,score,81.45
DJI,Djibouti,HAB,score,94.43
YEM,Yemen,HAB,score,89.29
SDN,Sudan,HAB,score,86.36
SAU,Saudi Arabia,HAB,score,62.39
ISR,Israel,HAB,score,70.68
EGY,Egypt,HAB,score,76.39
JOR,Jordan,HAB,score,89.78
SOM,Somalia,ICO,score,59.43
ERI,Eritrea,ICO,score,56.84
DJI,Djibouti,ICO,score,61.14
YEM,Yemen,ICO,score,51.63
SDN,Sudan,ICO,score,51.48
SAU,Saudi Arabia,ICO,score,54.43
ISR,Israel,ICO,score,57.29
EGY,Egypt,ICO,score,56.43
JOR,Jordan,ICO,score,60.19
SOM,Somalia,Index,score,69.72
ERI,Eritrea,Index,score,54.81
DJI,Djibouti,Index,score,78.01
YEM,Yemen,Index,score,67.99
SDN,Sudan,Index,score,61.09
SAU,Saudi Arabia,Index,score,73.67
ISR,Israel,Index,score,70.5
EGY,Egypt,Index,score,70.85
JOR,Jordan,Index,score,74.03
SOM,Somalia,LE,score,95.21
ERI,Eritrea,LE,score,3.42
DJI,Djibouti,LE,score,96.67
YEM,Yemen,LE,score,97.58
