goal,subgoal,description
"<a href=""https://ohi-rsga.github.io/OHI_RSGA/chapters/ao.html"">Artisanal fishing opportunity</a>",,"Access people have to coastal resources, whether or not they actually take fish or harvest from coastal waters."
"<a href=""https://ohi-rsga.github.io/OHI_RSGA/chapters/bd.html"">Biodiversity</a>",,Conservation status of marine species.
,Habitats,Condition of habitats that are important for supporting a wide array of species diversity.
,Species,How successfully the richness and variety of marine life is being maintained.
"<a href=""https://ohi-rsga.github.io/OHI_RSGA/chapters/cs.html"">Carbon storage</a>",,Ability of natural coastal ecosystems to absorb and sequester carbon.
"<a href=""https://ohi-rsga.github.io/OHI_RSGA/chapters/cw.html"">Clean waters</a>",,Degree to which waters are unpolluted.
"<a href=""https://ohi-rsga.github.io/OHI_RSGA/chapters/cp.html"">Coastal protection</a>",,Amount of current coastal protection provided by habitats relative to historic protection.
"<a href=""https://ohi-rsga.github.io/OHI_RSGA/chapters/fp.html"">Food provision</a>",,"Amount of seafood sustainably grown or harvested for human consumption, including wild-caught commercial fisheries, mariculture, artisanal-scale and recreational fisheries."
,Fisheries,"Amount of wild-caught seafood that can be sustainably harvested, with sustainability defined by multi-species yield, and with penalties assigned for both over- and under-harvesting."
,Mariculture,Ability to obtain maximal seafood yield from farm facilities without damaging the ocean's ability to continue providing resources for people in the future.
"<a href=""https://ohi-rsga.github.io/OHI_RSGA/chapters/le.html"">Livelihoods & economies</a>",,Maintainence of coastal and ocean-dependent livelihoods and economies.
,Livelihoods,Benefits people obtain from the oceans in the form of quality jobs and wages.
,Economies,Economic value associated with marine industries.
"<a href=""https://ohi-rsga.github.io/OHI_RSGA/chapters/np.html"">Natural products</a>",,Sustainable harvest of marine resources.
"<a href=""https://ohi-rsga.github.io/OHI_RSGA/chapters/sp.html"">Sense of place</a>",,Level of protection provided for coastal and marine systems that contribute to cultural identity.
,Iconic species,Health of species that are important to local cultural identity.
,Lasting special places,"Conservation status of geographic locations that hold significant aesthetic, spiritual, cultural, recreational, or existence value for people."
"<a href=""https://ohi-rsga.github.io/OHI_RSGA/chapters/tr.html"">Tourism & recreation</a>",,Value people have for experiencing and taking pleasure in coastal areas.
