iso3c,region_name,goal,future,pressures,resilience,score,status,trend,are_km2
SOM,Somalia,AO,95.73,46.77,39.12,97.01,98.3,0,128355
ERI,Eritrea,AO,60.13,47.98,43.75,60.3,60.46,0.01,78382
DJI,Djibouti,AO,68.26,42.86,51.46,73.02,77.78,-0.18,7252
YEM,Yemen,AO,94.41,45.52,41.09,94.6,94.79,0.02,162280
SDN,Sudan,AO,61.07,53.26,45.42,62.3,63.54,-0.02,63012
SAU,Saudi Arabia,AO,94.06,45.05,66.15,93.96,93.86,0,190642
ISR,Israel,AO,82.69,29.69,64.2,81.09,79.49,0.06,32
EGY,Egypt,AO,68.08,36.43,65.34,67.58,67.07,0.02,71940
JOR,Jordan,AO,87.38,43.49,62.01,84.62,81.87,0.1,97
SOM,Somalia,BD,75.89,NA,NA,76.85,77.81,0.02,128355
ERI,Eritrea,BD,80.66,NA,NA,82.65,84.64,-0.04,78382
DJI,Djibouti,BD,90.96,NA,NA,90.96,90.95,0,7252
YEM,Yemen,BD,83.7,NA,NA,84.47,85.25,0.03,162280
SDN,Sudan,BD,81.61,NA,NA,83.66,85.71,-0.02,63012
SAU,Saudi Arabia,BD,71.15,NA,NA,73.2,75.25,-0.09,190642
ISR,Israel,BD,68.06,NA,NA,66.87,65.68,0.05,32
EGY,Egypt,BD,73.91,NA,NA,74.76,75.61,-0.03,71940
JOR,Jordan,BD,88.52,NA,NA,88.75,88.98,-0.01,97
SOM,Somalia,CP,55.15,48.16,29.52,55.78,56.41,0.06,128355
ERI,Eritrea,CP,97.95,52.44,40.31,98.01,98.07,0.06,78382
DJI,Djibouti,CP,100,41.27,42.42,99.18,98.35,0.06,7252
YEM,Yemen,CP,68.25,50.53,31.21,70.81,73.38,-0.01,162280
SDN,Sudan,CP,74.81,46.51,34.69,77.67,80.52,-0.05,63012
SAU,Saudi Arabia,CP,70.23,36.01,70.36,71.28,72.33,-0.04,190642
ISR,Israel,CP,74.84,35.83,71.3,75.17,75.5,-0.01,32
EGY,Egypt,CP,89.15,41.92,70.32,89.74,90.33,-0.02,71940
JOR,Jordan,CP,80.92,40.21,65.32,87.43,93.95,-0.21,97
SOM,Somalia,CS,81.35,50.41,39.93,84.53,87.7,-0.06,128355
ERI,Eritrea,CS,67.2,49.16,44.75,69.17,71.14,-0.06,78382
DJI,Djibouti,CS,99.21,42.5,46.45,98.36,97.51,0.03,7252
YEM,Yemen,CS,64.77,50.48,31.27,67.95,71.14,-0.04,162280
SDN,Sudan,CS,68.16,46.84,35.85,70.87,73.57,-0.06,63012
SAU,Saudi Arabia,CS,69.39,35.78,70.38,70.31,71.23,-0.04,190642
ISR,Israel,CS,75,35.37,71.77,73.34,71.69,0.07,32
EGY,Egypt,CS,70.74,43.5,70.15,71.96,73.18,-0.05,71940
JOR,Jordan,CS,75.68,36.9,65.9,75.47,75.27,0.01,97
SOM,Somalia,CW,49.51,84.44,36.28,58.31,67.1,-0.15,128355
ERI,Eritrea,CW,40.89,87.12,50.38,46.55,52.21,-0.14,78382
DJI,Djibouti,CW,47.38,79.63,45.37,53.41,59.44,-0.13,7252
YEM,Yemen,CW,43.16,87.54,37.46,51.47,59.78,-0.17,162280
SDN,Sudan,CW,39.44,84.02,40.98,44.75,50.07,-0.1,63012
SAU,Saudi Arabia,CW,61.99,65.84,78.3,63.96,65.93,-0.09,190642
ISR,Israel,CW,46.37,63.74,86.26,48.64,50.91,-0.13,32
EGY,Egypt,CW,50.79,76.64,73.36,52.12,53.46,-0.06,71940
JOR,Jordan,CW,78.25,46.22,78.96,80.07,81.89,-0.07,97
SOM,Somalia,ECO,94.04,50.89,32.84,97.02,100,0,128355
ERI,Eritrea,ECO,6.26,52.07,34.98,6.68,7.09,-0.09,78382
DJI,Djibouti,ECO,99.9,45.26,44.97,99.95,100,0,7252
YEM,Yemen,ECO,90.33,55.55,30.3,95.16,100,-0.02,162280
SDN,Sudan,ECO,96.61,54.33,39.99,98.3,100,0.02,63012
SAU,Saudi Arabia,ECO,100,43.63,60.72,100,100,0.06,190642
ISR,Israel,ECO,100,34.62,73.64,100,100,0.03,32
EGY,Egypt,ECO,100,41.66,49.74,100,100,0.03,71940
JOR,Jordan,ECO,100,48.81,59.07,100,100,0.2,97
SOM,Somalia,FIS,40.48,47.64,39.9,40.84,41.2,0.01,128355
ERI,Eritrea,FIS,24.09,53.31,44.41,24.39,24.7,0.01,78382
DJI,Djibouti,FIS,72.04,47.52,52.74,63.97,55.9,0.43,7252
YEM,Yemen,FIS,54.7,48.96,42.14,54.95,55.2,0.02,162280
SDN,Sudan,FIS,27.58,60.07,46.18,28.24,28.9,0,63012
SAU,Saudi Arabia,FIS,50.84,53.84,63.91,50.42,50,0.03,190642
ISR,Israel,FIS,41.76,34.72,62.69,42.03,42.3,-0.02,32
EGY,Egypt,FIS,30.23,40.39,56.65,30.27,30.3,0,71940
JOR,Jordan,FIS,44.9,47.22,63.27,44.9,44.9,0,97
SOM,Somalia,FP,40.48,NA,NA,40.84,41.2,0.01,128355
ERI,Eritrea,FP,24.07,NA,NA,24.37,24.68,0.01,78382
DJI,Djibouti,FP,72.04,NA,NA,63.97,55.9,0.43,7252
YEM,Yemen,FP,54.7,NA,NA,54.95,55.2,0.02,162280
SDN,Sudan,FP,27.58,NA,NA,28.24,28.9,0,63012
